frame,preprocess_ms,inference_ms,postprocess_ms,annotation_ms,total_ms
0,6.38,152.18,60.22,17.89,236.68
1,4.6,21.57,4.02,17.17,47.36
2,1.56,19.75,5.13,12.57,39.01
3,1.6,15.68,1.68,18.23,37.19
4,3.04,13.28,2.57,14.04,32.93
5,1.87,16.07,1.96,15.09,34.99
6,2.68,28.6,3.8,13.79,48.86
7,3.05,22.02,5.49,22.67,53.23
8,2.59,17.42,2.88,17.33,40.22
9,1.78,19.49,4.78,17.8,43.86
10,2.93,16.21,3.03,19.19,41.35
11,2.4,18.43,2.37,14.02,37.22
12,1.68,14.42,1.67,12.93,30.7
13,2.42,18.28,4.15,15.28,40.13
14,2.11,14.46,2.11,13.16,31.83
15,1.8,20.59,3.2,17.47,43.06
16,2.13,18.03,4.77,24.78,49.71
17,4.48,22.08,4.32,17.59,48.47
18,2.9,18.63,2.56,15.34,39.42
19,2.13,17.36,4.13,15.99,39.61
20,1.81,16.41,2.49,17.19,37.9
21,2.75,14.49,1.69,14.55,33.48
22,2.28,13.06,1.84,14.64,31.83
23,2.2,18.7,3.02,14.66,38.59
24,1.48,13.4,1.7,11.54,28.13
25,1.66,12.28,1.59,10.64,26.18
26,1.88,12.48,1.87,10.92,27.15
27,1.78,12.02,1.97,11.04,26.81
28,2.5,12.39,2.4,10.77,28.05
29,2.07,12.2,1.94,10.6,26.81
30,2.22,11.34,1.97,10.43,25.96
31,2.07,13.01,2.07,10.95,28.1
32,2.55,12.37,2.54,9.97,27.43
33,2.5,13.06,2.11,10.61,28.29
34,2.43,12.95,1.86,10.91,28.15
35,2.08,12.23,1.92,11.16,27.4
36,2.59,12.76,1.9,10.17,27.42
37,2.62,12.89,2.09,10.38,27.98
38,2.41,11.72,3.27,13.48,30.87
39,1.77,11.64,1.84,10.95,26.2
40,2.59,11.95,1.97,11.37,27.88
41,2.53,12.49,1.99,11.13,28.14
42,2.12,11.35,1.9,10.92,26.29
43,2.57,11.58,2.44,11.98,28.57
44,2.76,12.81,1.62,11.2,28.4
45,1.3,11.46,2.13,9.84,24.75
46,1.9,12.89,2.15,10.15,27.1
47,2.45,12.46,2.65,11.64,29.2
48,1.87,11.48,2.24,9.6,25.18
49,2.09,12.57,2.08,10.02,26.75
50,3.31,21.2,1.8,12.01,38.31
51,2.09,11.61,1.56,11.67,26.93
52,1.69,12.63,1.59,11.31,27.23
53,1.76,12.07,1.75,11.27,26.85
54,1.7,11.71,1.91,10.8,26.12
55,2.53,12.23,2.4,10.62,27.79
56,1.76,16.0,2.56,11.41,31.72
57,1.86,12.49,1.65,10.2,26.2
58,1.71,11.54,2.03,10.94,26.22
59,2.95,11.71,1.9,11.43,27.99
60,2.3,12.26,2.2,10.0,26.76
61,2.66,13.16,2.06,11.33,29.19
