frame,track_id,class_id,class_name,confidence,x1,y1,x2,y2
0,1,2,car,0.7113,287.3,236.5,310.4,252.9
0,2,0,person,0.6810,439.3,233.1,450.9,267.0
0,3,2,car,0.5186,322.1,236.3,342.9,255.5
1,1,2,car,0.7055,287.1,236.4,310.3,252.9
1,2,0,person,0.6599,439.7,232.9,451.5,267.2
1,3,2,car,0.4690,321.0,234.5,343.6,255.5
2,1,2,car,0.7019,286.8,236.3,310.4,252.9
2,2,0,person,0.6538,440.3,232.8,452.3,267.9
3,1,2,car,0.7006,286.7,236.3,310.4,253.1
3,2,0,person,0.6255,441.0,232.8,453.1,268.2
3,4,0,person,0.5150,228.2,232.2,242.1,267.8
4,1,2,car,0.7004,286.3,236.4,310.2,253.3
4,2,0,person,0.6980,442.5,232.6,454.9,268.8
4,4,0,person,0.5861,227.4,231.8,241.3,267.5
5,1,2,car,0.7008,286.2,236.5,310.1,253.5
5,2,0,person,0.7140,443.3,232.4,456.0,269.5
5,4,0,person,0.6574,226.5,231.2,240.6,267.4
5,5,0,person,0.5602,248.8,235.0,258.3,257.7
6,1,2,car,0.6811,286.1,237.1,309.4,253.7
6,2,0,person,0.6238,444.3,235.0,456.2,269.5
6,5,0,person,0.4795,248.4,234.8,257.7,257.4
6,3,2,car,0.3623,322.6,240.7,339.3,255.8
7,1,2,car,0.6728,285.9,237.3,309.1,253.9
7,2,0,person,0.6502,445.2,234.6,457.4,270.0
7,5,0,person,0.5255,248.1,234.7,257.4,257.2
7,3,2,car,0.4825,322.8,241.9,338.7,256.0
8,1,2,car,0.6945,285.2,236.9,309.0,253.9
8,2,0,person,0.5819,445.9,234.2,458.3,270.2
8,5,0,person,0.4901,247.8,235.9,256.9,257.7
8,3,2,car,0.4527,322.7,242.4,338.5,256.0
9,1,2,car,0.6956,284.8,236.5,309.0,253.9
9,2,0,person,0.5749,446.4,234.1,458.8,270.2
9,5,0,person,0.5027,247.3,236.4,256.2,257.9
9,3,2,car,0.4649,322.3,242.5,338.5,256.2
10,1,2,car,0.7394,284.5,236.8,308.5,254.1
10,2,0,person,0.6171,447.1,234.8,459.6,270.9
10,5,0,person,0.5799,246.7,236.7,255.6,257.9
10,3,2,car,0.6950,321.3,241.5,339.3,256.5
11,1,2,car,0.7476,284.5,236.9,308.1,254.1
11,2,0,person,0.6152,447.9,234.3,461.0,271.7
11,5,0,person,0.5525,246.2,236.8,255.0,258.0
11,3,2,car,0.7501,320.5,240.7,339.9,256.8
11,6,0,person,0.3907,423.9,239.3,434.6,265.2
11,7,0,person,0.4152,434.4,237.4,447.2,269.9
12,1,2,car,0.7549,283.9,236.9,307.7,254.3
12,2,0,person,0.7007,448.6,233.1,462.3,272.1
12,5,0,person,0.5053,245.4,236.7,254.4,258.4
12,3,2,car,0.7775,320.1,240.5,340.1,257.1
12,6,0,person,0.4755,424.2,239.5,435.1,265.8
12,7,0,person,0.5537,434.9,237.2,448.3,271.4
13,1,2,car,0.7556,283.7,237.0,307.3,254.4
13,2,0,person,0.7050,450.0,233.8,463.5,272.6
13,5,0,person,0.5966,244.8,236.4,254.1,258.6
13,3,2,car,0.7726,319.9,240.6,340.1,257.2
13,6,0,person,0.4212,424.8,239.2,435.8,265.7
13,7,0,person,0.5509,435.5,236.9,449.2,271.8
13,8,0,person,0.4162,417.2,242.9,425.7,265.1
14,1,2,car,0.7483,283.0,236.8,306.9,254.5
14,2,0,person,0.7413,450.6,233.9,464.4,273.1
14,5,0,person,0.4754,244.4,236.2,253.6,258.1
14,3,2,car,0.7518,319.7,240.9,339.9,257.4
14,6,0,person,0.4569,425.3,239.0,436.3,265.4
14,7,0,person,0.6251,436.4,236.6,450.7,273.0
14,8,0,person,0.3509,417.6,242.2,426.3,264.7
15,1,2,car,0.7619,282.7,236.7,306.7,254.5
15,2,0,person,0.7632,451.8,234.1,465.7,273.6
15,5,0,person,0.5451,243.9,236.2,253.3,258.4
15,3,2,car,0.7400,319.6,241.3,339.8,257.6
