frame,track_id,class_id,class_name,confidence,x1,y1,x2,y2
0,1,2,car,0.7113,287.3,236.5,310.4,252.9
0,2,0,person,0.6810,439.3,233.1,450.9,267.0
0,3,2,car,0.5186,322.1,236.3,342.9,255.5
1,1,2,car,0.7055,287.1,236.5,310.2,252.9
1,2,0,person,0.6599,439.9,233.0,451.6,267.3
1,3,2,car,0.4690,321.8,234.6,342.8,255.6
2,1,2,car,0.7019,287.0,236.4,310.2,253.1
2,2,0,person,0.6538,440.5,232.9,452.6,268.0
3,1,2,car,0.7006,287.0,236.3,310.1,253.1
3,2,0,person,0.6255,441.2,232.8,453.1,268.3
3,4,0,person,0.5150,228.0,232.3,241.9,267.9
4,1,2,car,0.7004,286.9,236.4,309.5,253.4
4,2,0,person,0.6980,442.6,232.6,455.1,269.0
4,4,0,person,0.5861,227.3,232.0,240.8,267.7
5,1,2,car,0.7008,286.8,236.5,309.4,253.5
5,2,0,person,0.7140,443.5,232.4,456.0,269.5
5,4,0,person,0.6574,226.2,231.3,240.4,267.6
5,5,0,person,0.5602,248.9,235.0,257.9,257.8
6,1,2,car,0.6811,286.4,237.1,309.0,253.7
6,2,0,person,0.6238,444.4,235.0,456.3,269.5
6,5,0,person,0.4795,248.2,234.9,257.4,257.5
6,3,2,car,0.3623,320.3,240.7,341.6,255.9
7,1,2,car,0.6728,286.4,237.3,308.6,253.9
7,2,0,person,0.6502,445.2,234.6,457.7,270.1
7,5,0,person,0.5255,248.0,234.8,257.2,257.3
7,3,2,car,0.4825,320.1,241.9,341.4,256.0
8,1,2,car,0.6945,285.7,236.9,308.5,253.9
8,2,0,person,0.5819,445.7,234.3,458.6,270.2
8,5,0,person,0.4901,247.7,236.0,256.7,257.8
8,3,2,car,0.4527,319.9,242.4,341.3,256.1
9,1,2,car,0.6956,285.4,236.5,308.2,253.9
9,2,0,person,0.5749,446.1,234.1,459.0,270.2
9,5,0,person,0.5027,246.9,236.4,256.4,257.9
9,3,2,car,0.4649,319.6,242.5,341.1,256.1
10,1,2,car,0.7394,285.3,236.8,307.7,254.1
10,2,0,person,0.6171,446.9,234.8,460.0,270.9
10,5,0,person,0.5799,246.4,236.7,255.9,258.0
10,3,2,car,0.6950,319.6,241.5,341.0,256.6
11,1,2,car,0.7476,285.2,236.9,307.4,254.1
11,2,0,person,0.6152,447.7,234.3,461.3,271.7
11,5,0,person,0.5525,246.0,236.9,255.2,258.0
11,3,2,car,0.7501,319.5,240.6,340.8,256.8
11,6,0,person,0.3907,423.7,239.4,435.1,265.4
11,7,0,person,0.4152,434.9,237.5,447.1,270.0
12,1,2,car,0.7549,284.6,236.9,307.0,254.3
12,2,0,person,0.7007,448.5,233.1,462.6,272.2
12,5,0,person,0.5053,245.2,236.7,254.4,258.4
12,3,2,car,0.7775,319.5,240.5,340.7,257.1
12,6,0,person,0.4755,424.0,239.6,435.8,266.0
12,7,0,person,0.5537,435.7,237.3,448.0,271.6
13,1,2,car,0.7556,284.4,237.0,306.6,254.3
13,2,0,person,0.7050,449.9,233.8,463.7,272.6
13,5,0,person,0.5966,244.8,236.4,254.0,258.6
13,3,2,car,0.7726,319.3,240.6,340.6,257.2
13,6,0,person,0.4212,424.3,239.3,436.7,265.8
13,7,0,person,0.5509,436.5,237.0,448.6,271.9
13,8,0,person,0.4162,417.3,243.0,426.0,265.2
14,1,2,car,0.7483,283.5,236.8,306.4,254.4
14,2,0,person,0.7413,450.4,233.9,464.7,273.1
14,5,0,person,0.4754,244.1,236.1,253.8,258.1
14,3,2,car,0.7518,319.0,240.9,340.6,257.4
14,6,0,person,0.4569,424.7,239.1,437.1,265.4
14,7,0,person,0.6251,437.1,236.6,450.2,273.1
14,8,0,person,0.3509,417.5,242.3,426.8,264.9
15,1,2,car,0.7619,283.1,236.6,306.3,254.4
15,2,0,person,0.7632,451.3,234.1,466.3,273.6
15,5,0,person,0.5451,243.6,236.1,253.4,258.4
15,3,2,car,0.7400,318.8,241.2,340.5,257.6
