frame,track_id,class_name,warning_type,distance_m,ttc_s,x1,y1,x2,y2
0,1,car,FRONT OBJECT,22.5,,654.1,509.1,751.5,569.1
0,2,car,FRONT OBJECT,24.9,,595.1,508.6,672.3,562.8
0,4,car,VEHICLE TOO CLOSE,6.6,,237.3,480.5,503.8,686.3
1,1,car,FRONT OBJECT,22.5,,653.4,508.7,750.9,568.8
1,2,car,FRONT OBJECT,24.6,,594.5,508.2,672.6,563.0
1,4,car,VEHICLE TOO CLOSE,6.1,,229.6,480.7,515.5,701.9
2,1,car,FRONT OBJECT,22.5,,652.3,508.5,749.8,568.5
2,2,car,FRONT OBJECT,25.1,,595.0,508.4,671.6,562.1
2,4,car,VEHICLE TOO CLOSE,6.3,,231.1,481.4,508.9,696.7
2,5,car,VEHICLE TOO CLOSE,5.1,,960.9,452.9,1280.0,716.7
3,1,car,FRONT OBJECT,22.0,,650.0,508.2,749.6,569.5
3,2,car,FRONT OBJECT,24.8,,595.5,508.3,673.2,562.7
3,4,car,VEHICLE TOO CLOSE,6.0,,219.7,480.7,509.2,706.6
3,5,car,VEHICLE TOO CLOSE,5.1,,958.8,452.0,1280.0,719.1
4,2,car,FRONT OBJECT,24.1,5.7,594.7,507.9,674.9,564.0
5,2,car,FRONT OBJECT,23.9,4.1,594.2,507.9,675.1,564.4
5,1,car,FRONT OBJECT,22.1,,652.0,508.0,751.7,569.1
6,2,car,FRONT OBJECT,24.2,5.0,594.8,507.5,675.0,563.4
6,1,car,FRONT OBJECT,22.4,,649.8,507.9,748.6,568.2
6,4,car,VEHICLE TOO CLOSE,7.3,,244.7,481.1,482.4,666.5
7,2,car,FRONT OBJECT,24.6,8.2,593.9,506.4,672.6,561.2
7,1,car,FRONT OBJECT,21.2,,646.2,507.8,750.2,571.3
7,4,car,VEHICLE TOO CLOSE,7.4,,247.0,481.0,480.1,662.6
8,2,car,FRONT OBJECT,24.5,11.4,592.7,505.6,671.8,560.8
8,1,car,FRONT OBJECT,20.8,,644.7,507.8,750.6,572.7
8,5,car,VEHICLE TOO CLOSE,4.9,,978.1,445.1,1280.0,719.9
9,2,car,FRONT OBJECT,24.2,11.6,592.8,504.8,672.8,560.7
9,1,car,FRONT OBJECT,20.1,1.2,643.6,507.1,752.5,574.2
9,1,car,TTC WARNING,20.1,1.2,643.6,507.1,752.5,574.2
9,4,car,VEHICLE TOO CLOSE,7.4,,244.4,481.1,479.8,664.1
9,5,car,VEHICLE TOO CLOSE,4.9,,983.8,443.2,1280.0,719.7
10,2,car,FRONT OBJECT,23.9,10.7,592.3,504.4,672.8,560.8
10,1,car,FRONT OBJECT,20.1,1.4,644.1,506.9,753.0,574.2
10,1,car,TTC WARNING,20.1,1.4,644.1,506.9,753.0,574.2
10,4,car,VEHICLE TOO CLOSE,7.4,,245.4,481.4,478.9,662.8
10,5,car,VEHICLE TOO CLOSE,4.8,,987.4,441.3,1280.0,719.9
11,2,car,FRONT OBJECT,23.7,8.0,592.8,504.2,673.8,561.2
11,1,car,FRONT OBJECT,19.9,1.5,643.9,506.5,753.5,574.4
11,1,car,TTC WARNING,19.9,1.5,643.9,506.5,753.5,574.4
11,5,car,VEHICLE TOO CLOSE,4.8,,992.5,440.9,1280.0,720.0
12,2,car,FRONT OBJECT,23.5,8.9,593.6,504.1,675.1,561.6
12,1,car,FRONT OBJECT,19.4,1.5,643.1,506.0,754.7,575.4
12,1,car,TTC WARNING,19.4,1.5,643.1,506.0,754.7,575.4
12,5,car,VEHICLE TOO CLOSE,4.8,5.3,996.6,438.4,1280.0,720.0
