epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.291,1.23264,1.0256,1.06171,0.69973,0.53183,0.63155,0.36985,1.11992,0.7361,1.04081,0.000332444,0.000332444,0.000332444
2,288.607,1.19092,0.81726,1.05079,0.68377,0.53618,0.62299,0.36887,1.11731,0.77167,1.05357,0.000652595,0.000652595,0.000652595
3,431.175,1.17228,0.79984,1.04667,0.70779,0.59547,0.66531,0.4063,1.10398,0.72295,1.04282,0.000959546,0.000959546,0.000959546
4,573.559,1.14512,0.76692,1.03391,0.74613,0.59922,0.66966,0.40904,1.05665,0.68095,1.02889,0.0009406,0.0009406,0.0009406
5,716.903,1.12426,0.7409,1.02883,0.76074,0.64808,0.72284,0.43932,1.00917,0.65252,1.00443,0.0009208,0.0009208,0.0009208
6,858.063,1.08333,0.71037,1.00955,0.77319,0.65995,0.74585,0.46932,1.00488,0.65746,1.00264,0.000901,0.000901,0.000901
7,1000.39,1.06801,0.68807,1.00352,0.78016,0.68715,0.74503,0.48128,0.98146,0.61635,0.99374,0.0008812,0.0008812,0.0008812
8,1142.29,1.0431,0.66736,0.99157,0.82927,0.69156,0.77515,0.50006,0.97849,0.61416,0.99916,0.0008614,0.0008614,0.0008614
9,1282.27,1.02584,0.64935,0.98559,0.82665,0.70527,0.79383,0.51437,0.95131,0.58692,0.98283,0.0008416,0.0008416,0.0008416
10,1421.11,1.01175,0.64996,0.98017,0.8274,0.69644,0.78885,0.52016,0.93266,0.57363,0.97756,0.0008218,0.0008218,0.0008218
11,1566.24,1.00203,0.63878,0.97527,0.82164,0.73512,0.81495,0.54111,0.91447,0.55585,0.97039,0.000802,0.000802,0.000802
12,1706.54,0.98579,0.61692,0.96719,0.84926,0.75834,0.83096,0.55339,0.90144,0.55793,0.96706,0.0007822,0.0007822,0.0007822
13,1846.88,0.97506,0.60716,0.96202,0.87148,0.74286,0.82984,0.55401,0.90204,0.54484,0.96136,0.0007624,0.0007624,0.0007624
14,1989.32,0.95938,0.59674,0.95942,0.85612,0.74306,0.82744,0.55854,0.88893,0.54462,0.95826,0.0007426,0.0007426,0.0007426
15,2129.02,0.94708,0.58769,0.95573,0.8242,0.77927,0.83304,0.5711,0.87878,0.5325,0.95516,0.0007228,0.0007228,0.0007228
16,2268.98,0.9354,0.57651,0.95146,0.83996,0.78028,0.84415,0.57458,0.86931,0.5229,0.9484,0.000703,0.000703,0.000703
